,Columns,Importance
0,feature_4,0.0
1,feature_7,0.09512761
2,feature_11,0.0
3,feature_12,0.060324825
4,feature_15,0.025522042
5,feature_16,0.030162413
6,feature_23,0.0
7,feature_26,0.009280742
8,feature_31,0.013921114
9,feature_32,0.004640371
10,feature_33,0.0
11,feature_34,0.004640371
12,feature_35,0.016241299
13,feature_40,0.009280742
14,feature_41,0.025522042
15,feature_42,0.0023201855
16,feature_50,0.0
17,feature_52,0.025522042
18,feature_56,0.004640371
19,feature_60,0.011600928
20,feature_64,0.0023201855
21,feature_65,0.030162413
22,feature_71,0.009280742
23,feature_72,0.004640371
24,ind_acc_70,0.05800464
25,payment_history_mean_length,0.034802783
26,months_last_30_plus,0.011600928
27,mean_mon_30p,0.032482598
28,current_age_max,0.016241299
29,mean_diff_lastpaymt_opened_dt,0.051044084
30,ratio_currbalance_creditlimit,0.0487239
31,mean_curr_bal,0.041763343
32,mean_credit_limit,0.064965196
33,mean_cashlimit,0.0487239
34,ind_enq_70,0.023201857
35,count_enquiry_recency_365,0.046403714
36,count_enquiry_recency_90,0.032482598
37,perc_unsecured_others,0.06960557
38,diff_feature_30,0.020881671
39,diff_feature_39,0.013921114
